MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
201.37142857142862,213.74021280851343,1.4404277444831681,1.45673899613673,SeasonalNaive,14,T3573,0.9909406137500104
40.58672511030454,45.75661411307015,0.2900246905550589,0.2936080138731818,AutoETS,7,T3573,0.9909406137500104
98.87603881531686,120.01665465093043,0.7037312670099012,0.7152781432183648,AutoETS,14,T3573,0.9909406137500104
51.7810362029065,55.8885140272458,0.37021223657748836,0.3745886654937512,AutoTheta,7,T3573,0.9909406137500104
108.811833036955,127.3402032747228,0.7748802114257244,0.7871545707877119,AutoTheta,14,T3573,0.9909406137500104
190.0999999999993,203.87976498767176,1.635903706299891,0.8123524809713617,Naive,7,T3295,0.9870327214863361
215.8642857142851,224.46199646519804,1.8564387863368381,0.92245075251505,Naive,14,T3295,0.9870327214863361
272.1428571428569,292.0869537850472,2.3537918965819045,1.1629454244010282,SeasonalNaive,7,T3295,0.9870327214863361
297.9071428571427,317.13832380929813,2.5743010139040976,1.2730436959447164,SeasonalNaive,14,T3295,0.9870327214863361
190.09282175009216,203.8730719156918,1.6358413522821253,0.8123218062258536,AutoETS,7,T3295,0.9870327214863361
215.85710746437795,224.4550931769918,1.8563764333299644,0.9224200777695418,AutoETS,14,T3295,0.9870327214863361
188.99485698136544,202.56191350164315,1.62633020857705,0.8076298840591292,AutoTheta,7,T3295,0.9870327214863361
